file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/2013-09409.pdf	5	0	0	1	21	2	0	29	23
/datadrive/data/ESAdocs/federal_register/2013-09494.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2013-09598.pdf	3	0	0	0	31	2	10	46	60
/datadrive/data/ESAdocs/federal_register/2013-09600.pdf	14	4	5	7	37	4	2	73	44
/datadrive/data/ESAdocs/federal_register/2013-09884.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2013-09895.pdf	0	0	0	0	4	0	1	5	7
/datadrive/data/ESAdocs/federal_register/2013-09975.pdf	0	0	0	0	1	0	1	2	4
/datadrive/data/ESAdocs/federal_register/2013-10044.pdf	1	0	0	0	6	0	0	7	9
/datadrive/data/ESAdocs/federal_register/2013-10492.pdf	0	0	0	0	1	0	0	1	1
/datadrive/data/ESAdocs/federal_register/2013-10497.pdf	0	0	0	0	7	0	0	7	7
